"Wife's Choice","Walk","2010-07-15 13:00:00",2:05:00,7500,0:00:00,0,7.94,3.81,0:15:45,945,0,1075,0.00,0:00:00,0,""
"Public Park : Back Course","Run","2010-07-16 14:28:16",0:32:38,1958,0:00:00,0,3.33,6.13,0:09:48,588,128,421,6.75,0:08:53,533,"96F 108F heat index "
"Cool Down : Around The Block","Walk","2010-07-16 15:02:02",0:09:52,592,0:00:00,0,0.60,3.67,0:16:21,981,33,45,3.94,0:15:14,914,""
"Public Park : Front Course","Run","2010-07-17 11:30:39",0:31:57,1917,0:00:00,0,3.38,6.35,0:09:27,567,217,498,7.96,0:07:33,453,""
"Cool Down : Around The Block","Walk","2010-07-17 12:03:16",0:09:35,575,0:00:00,0,0.62,3.87,0:15:30,930,33,53,4.35,0:13:48,828,""
"Public Park : Back Course","Run","2010-07-18 16:24:27",0:32:08,1928,0:00:00,0,3.32,6.20,0:09:41,581,292,467,7.36,0:08:09,489,""
